#device_id,rssi_1,snr_1,rssi_2,snr_2,rssi_3,snr_3,spreading_factor,ts,lat,long,alt,rssi_mean,snr_mean,rssi_std,snr_std,rssi_diff12,rssi_diff13,rssi_diff23,snr_diff12,snr_diff13,snr_diff23,link_1,link_2,link_3,rssi_prod12,rssi_prod13,snr_prod12,snr_prod13,rssi_ratio12,rssi_ratio13,snr_ratio12,snr_ratio13,x,y,log_x,log_y
1,-109.0,4.2,-107.0,5.0,-119.0,-12.5,11.0,1575451312.525759,42.47055353393555,-9.001777548925782,57.0,-111.66666666666667,-1.1000000000000003,6.429100507328636,9.880789442144794,-2.0,10.0,12.0,-0.7999999999999998,16.7,17.5,-104.8,-102.0,-131.5,11663.0,12971.0,21.0,-52.5,1.0186915887850467,0.9159663865546218,0.8400000000000001,-0.336,958.4651965729954,92.1388412355094,6.86637604232819,4.534091296372153
1,-114.0,1.2,-118.0,-0.5,-119.0,-12.2,10.0,1575453144.452415,42.47079849243154,-9.005745841430555,71.0,-117.0,-3.8333333333333335,2.6457513110645907,7.295432360959378,4.0,5.0,1.0,1.7,13.399999999999999,11.7,-112.8,-118.5,-131.2,13452.0,13566.0,-0.6,-14.639999999999999,0.9661016949152542,0.957983193277311,-2.4,-0.09836065573770492,632.6150189657367,119.21655338229797,6.4514415443949975,4.78929472794616
1,-117.0,-9.0,-95.0,5.8,-119.0,-15.5,12.0,1575454281.959137,42.47543715430554,-9.009973525000976,-18.79999923705055,-110.33333333333333,-6.233333333333333,13.316656236958787,10.91619591860339,-22.0,2.0,24.0,-14.8,6.5,21.3,-126.0,-89.2,-134.5,11115.0,13923.0,-52.199999999999996,139.5,1.231578947368421,0.9831932773109243,-1.5517241379310345,0.5806451612903226,285.46534674970127,631.9742369339604,5.657617575086075,6.450429721369561
1,-117.0,-3.8,-108.0,5.0,-111.0,3.8,11.0,1575455182.785289,42.47898101805541,-9.00881575538085,-5.199999809255137,-112.0,1.6666666666666667,4.58257569495584,4.772141378179541,-9.0,-6.0,3.0,-8.8,-7.6,1.2000000000000002,-120.8,-103.0,-107.2,12636.0,12987.0,-19.0,-14.44,1.0833333333333333,1.054054054054054,-0.76,-1.0,380.5338014800081,1023.7129358444345,5.9441994483199645,6.932167789756861
1,-115.0,-0.8,-90.0,13.0,-114.0,2.0,8.0,1575455385.343985,42.4793585730957,-9.010725021352304,-2.200000047583715,-106.33333333333333,4.733333333333333,14.153915830374762,7.29474696842415,-25.0,-1.0,24.0,-13.8,-2.8,11.0,-115.8,-77.0,-112.0,10350.0,13110.0,-10.4,-1.6,1.2777777777777777,1.0087719298245614,-0.06153846153846154,-0.4,223.7573906812681,1065.4478699986337,5.415021556821154,6.972088657203058
1,-115.0,0.2,-93.0,13.8,-110.0,5.8,7.0,1575455454.217394,42.47933197021485,-9.010820388793944,-9.5,-106.0,6.6000000000000005,11.532562594670797,6.835202996254026,-22.0,-5.0,17.0,-13.600000000000001,-5.6,8.0,-114.8,-79.2,-104.2,10695.0,12650.0,2.7600000000000002,1.16,1.2365591397849462,1.0454545454545454,0.014492753623188406,0.034482758620689655,215.9264412845483,1062.507187549353,5.3795583158181275,6.969327393008947
1,-115.0,0.2,-85.0,5.8,-114.0,1.5,12.0,1575455525.927459,42.47939582005835,-9.011570112509853,-2.200000047583715,-104.66666666666667,2.5,17.039170558842745,2.930870177950569,-30.0,-1.0,29.0,-5.6,-1.3,4.3,-114.8,-79.2,-112.5,9775.0,13110.0,1.16,0.30000000000000004,1.3529411764705883,1.0087719298245614,0.034482758620689655,0.13333333333333333,154.3640424211588,1069.5651492497873,5.045771023908157,6.975941964888605
1,-103.0,5.5,-84.0,7.5,-107.0,5.5,11.0,1575455592.553307,42.4800033559336,-9.012285232543944,-4.099999904532558,-98.0,6.166666666666667,12.288205727444508,1.1547005383792517,-19.0,4.0,23.0,-2.0,0.0,2.0,-97.5,-76.5,-101.5,8652.0,11021.0,41.25,30.25,1.2261904761904763,0.9626168224299065,0.7333333333333333,1.0,95.64307116243857,1136.722164899576,4.5710245130942,7.036783441556454
1,-91.0,11.2,-100.0,12.2,-118.0,-2.0,10.0,1575455723.507218,42.48040390014549,-9.013038535253903,-7.099999904532558,-103.0,7.133333333333333,13.74772708486752,7.925486315257464,9.0,27.0,18.0,-1.0,13.2,14.2,-79.8,-87.8,-120.0,9100.0,10738.0,136.64,-22.4,0.91,0.7711864406779662,0.9180327868852459,-5.6,33.78678875956854,1180.9983220821614,3.5492376813557156,7.074961778406797
1,-91.0,11.8,-115.0,0.2,-117.0,-4.0,8.0,1575455795.38125,42.48139953513281,-9.01425552358154,-0.4000000059504545,-107.66666666666667,2.6666666666666665,14.46835627614047,8.183723683833255,24.0,26.0,2.0,11.600000000000001,15.8,4.2,-79.2,-114.8,-121.0,10465.0,10647.0,2.3600000000000003,-47.2,0.7913043478260869,0.7777777777777778,59.0,-2.95,-66.14431819114581,1291.0558135804313,-4.2068443057057,7.16398988277514
1,-95.0,13.0,-117.0,1.0,-119.0,-5.0,7.0,1575455871.121553,42.48058700551523,-9.01412295295155,-15.500000381459728,-110.33333333333333,3.0,13.316656236958787,9.16515138991168,22.0,24.0,2.0,12.0,18.0,6.0,-82.0,-116.0,-124.0,11115.0,11305.0,13.0,-65.0,0.811965811965812,0.7983193277310925,13.0,-2.6,-55.25848674705573,1201.23878965355,-4.029956905207178,7.091940755642309
1,-104.0,7.2,-113.0,3.2,-111.0,4.2,11.0,1575455013.511241,42.48051071155992,-9.01545238494873,1.299999952315284,-109.33333333333333,4.866666666666667,4.725815626252608,2.0816659994661326,9.0,7.0,-2.0,4.0,3.0,-1.0,-96.8,-109.8,-106.8,11752.0,11544.0,23.040000000000003,30.240000000000002,0.9203539823008849,0.9369369369369369,2.25,1.7142857142857142,-164.42273103531562,1192.8052558336005,-5.10850420383196,7.084901178333
1,-98.0,11.5,-115.0,2.2,-117.0,-1.5,10.0,1575455144.503091,42.47982405515211,-9.014989852905272,-2.0999999045325586,-110.0,4.066666666666666,10.44030650891055,6.698009654616312,17.0,19.0,2.0,9.3,13.0,3.7,-86.5,-112.8,-118.5,11270.0,11466.0,25.3,-17.25,0.8521739130434782,0.8376068376068376,5.227272727272727,-7.666666666666667,-126.44263044322757,1116.9022565137109,-4.8476663060292955,7.01920922280337
1,-89.0,7.5,-103.0,5.2,-115.0,-2.5,12.0,1575455321.905854,42.47830953134756,-9.013505889343252,-15.0,-102.33333333333333,3.4,13.012814197295423,5.237365750069399,14.0,26.0,12.0,2.3,10.0,7.7,-81.5,-97.8,-117.5,9167.0,10235.0,39.0,-18.75,0.8640776699029126,0.7739130434782608,1.4423076923076923,-3.0,-4.589266643738233,949.4867951593214,-1.720848087816247,6.856974269311541
1,-103.0,5.5,-114.0,1.2,-117.0,-2.2,11.0,1575455387.509993,42.47840118408203,-9.013320922851552,-8.599999809255136,-111.33333333333333,1.5,7.3711147958319945,3.8587562763149474,11.0,14.0,3.0,4.3,7.7,3.4000000000000004,-97.5,-112.8,-119.2,11742.0,12051.0,6.6,-12.100000000000001,0.9035087719298246,0.8803418803418803,4.583333333333334,-2.5,10.59896963151999,959.6180884274737,2.4509162692981903,6.867576919396423
1,-97.0,11.0,-107.0,8.8,-104.0,10.0,10.0,1575455520.429834,42.47830953134756,-9.013459595044923,12.599999809255136,-102.66666666666667,9.933333333333334,5.131601439446884,1.10151410945722,10.0,7.0,-3.0,2.1999999999999993,1.0,-1.1999999999999993,-86.0,-98.2,-94.0,10379.0,10088.0,96.80000000000001,110.0,0.9065420560747663,0.9326923076923077,1.25,1.1,-0.7878822159082113,949.4867951593214,-0.5810317998097905,6.856974269311541
1,-95.0,14.8,-111.0,7.5,-109.0,8.0,8.0,1575455595.349421,42.47805157502539,-9.014520545141503,-17.200000752939452,-105.0,10.1,8.717797887081348,4.077989700820737,16.0,14.0,-2.0,7.300000000000001,6.800000000000001,-0.5,-80.2,-103.5,-101.0,10545.0,10355.0,111.0,118.4,0.8558558558558559,0.8715596330275229,1.9733333333333334,1.85,-87.90615209828309,920.9723033063226,-4.4875813425808575,6.8265151833074755
1,-100.0,12.2,-98.0,13.0,-114.0,2.8,7.0,1575455553.307971,42.47750391235352,-9.014485359191896,-7.800000190734853,-104.0,9.333333333333334,8.717797887081348,5.6721542057082095,-2.0,14.0,16.0,-0.8000000000000007,9.399999999999999,10.2,-87.8,-85.0,-111.2,9800.0,11400.0,158.6,34.16,1.0204081632653061,0.8771929824561403,0.9384615384615385,4.357142857142857,-85.0169124782875,860.433671557775,-4.454543933643382,6.758598061196389
1,-95.0,5.0,-109.0,3.0,-105.0,4.8,12.0,1575455733.982775,42.47737503051758,-9.01474555595459,3.5,-103.0,4.266666666666667,7.211102550927978,1.1015141094572205,14.0,10.0,-4.0,2.0,0.20000000000000018,-1.7999999999999998,-90.0,-106.0,-100.2,10355.0,9975.0,15.0,24.0,0.8715596330275229,0.9047619047619048,1.6666666666666667,1.0416666666666667,-106.38256564894475,846.1870734128253,-4.676397837882247,6.741921536159491
1,-99.0,5.5,-113.0,-1.2,-102.0,5.0,11.0,1575455803.519209,42.47593534033203,-9.015700340270996,-1.0,-104.66666666666667,3.1,7.3711147958319945,3.7322915213043046,14.0,3.0,-11.0,6.7,0.5,-6.2,-93.5,-114.2,-97.0,11187.0,10098.0,-6.6,27.5,0.8761061946902655,0.9705882352941176,-4.583333333333334,1.1,-184.78319733202693,687.043720302225,-5.224580388124698,6.53385238286523
1,-95.0,11.0,-109.0,5.8,-118.0,-7.2,10.0,1575455934.503835,42.47577993774414,-9.015524314880372,-18.200000752939452,-107.33333333333333,3.2000000000000006,11.590225767142474,9.374433316206371,14.0,23.0,9.0,5.2,18.2,13.0,-84.0,-103.2,-125.2,10355.0,11210.0,63.8,-79.2,0.8715596330275229,0.8050847457627118,1.896551724137931,-1.5277777777777777,-170.32914568906557,669.8655182373017,-5.143586534984848,6.5085686969703245
1,-90.0,8.2,-112.0,3.2,-114.0,1.8,12.0,1575457039.898435,42.47575378417959,-9.015505744384756,-2.700000047583715,-105.33333333333333,4.3999999999999995,13.316656236958787,3.364520768252144,22.0,24.0,2.0,4.999999999999999,6.3999999999999995,1.4000000000000001,-81.8,-108.8,-112.2,10080.0,10260.0,26.24,14.76,0.8035714285714286,0.7894736842105263,2.5624999999999996,4.555555555555555,-168.80425827529038,666.9745032113996,-5.134646351744717,6.504250003962986
1,-85.0,8.8,-112.0,2.8,-104.0,7.5,11.0,1575457110.532917,42.47533798217773,-9.015732755197755,2.4000000953574316,-100.33333333333333,6.366666666666667,13.868429375143146,3.156474826976026,27.0,19.0,-8.0,6.000000000000001,1.3000000000000007,-4.7,-76.2,-109.2,-96.5,9520.0,8840.0,24.64,66.0,0.7589285714285714,0.8173076923076923,3.1428571428571432,1.1733333333333333,-187.44489871335526,621.0117499257117,-5.23880564963784,6.432958983116562
1,-94.0,10.5,-114.0,2.0,-105.0,8.5,10.0,1575457241.958582,42.47524251474509,-9.015071319580079,-18.0,-104.33333333333333,7.0,10.016652800877813,4.444097208657794,20.0,11.0,-9.0,8.5,2.0,-6.5,-83.5,-112.0,-96.5,10716.0,9870.0,21.0,89.25,0.8245614035087719,0.8952380952380953,5.25,1.2352941176470589,-133.1321399546892,610.4587799220672,-4.898825433119759,6.415847544714668
1,-101.0,5.0,-100.0,7.0,-95.0,7.5,12.0,1575457413.908158,42.47459711303711,-9.014725585119528,-5.900000095357432,-98.66666666666667,6.5,3.214550253664318,1.3228756555322954,-1.0,-6.0,-5.0,-2.0,-2.5,-0.5,-96.0,-93.0,-87.5,10100.0,9595.0,35.0,37.5,1.01,1.063157894736842,0.7142857142857143,0.6666666666666666,-104.74269153580231,539.1160751222282,-4.661008704765573,6.291784070389086
1,-95.0,7.5,-104.0,5.0,-115.0,-1.8,11.0,1575457481.539584,42.47480010985328,-9.014019955125487,3.5,-104.66666666666667,3.5666666666666664,10.016652800877813,4.812830075260639,9.0,20.0,11.0,2.5,9.3,6.8,-87.5,-99.0,-116.8,9880.0,10925.0,37.5,-13.5,0.9134615384615384,0.8260869565217391,1.5,-4.166666666666667,-46.80098018093425,561.5553431809577,-3.867046145164453,6.332489517116064
